user_id,recommended_categories
U_00488,"Sports, Toys, Grocery"
U_00492,"Beauty, Electronics, Home"
U_00495,"Sports, Home, Electronics"
U_00496,"Toys, Home, Electronics"
U_00497,"Sports, Home, Grocery"
U_00501,"Beauty, Grocery, Home"
U_00507,"Fashion, Electronics, Home"
U_00509,"Sports, Home, Electronics"
U_00513,"Sports, Beauty, Home"
U_00515,"Toys, Home, Electronics"
U_00520,"Fashion, Electronics, Home"
U_00524,"Beauty, Grocery, Electronics"
U_00525,"Sports, Fashion, Beauty"
U_00528,"Fashion, Toys, Home"
U_00530,"Grocery, Books, Toys"
U_00533,"Toys, Books, Home"
U_00534,"Toys, Fashion, Sports"
U_00537,"Fashion, Electronics, Home"
U_00538,"Toys, Sports, Books"
U_00539,"Books, Toys, Grocery"
U_00541,"Books, Toys, Grocery"
U_00545,"Sports, Home, Electronics"
U_00547,"Sports, Home, Electronics"
U_00551,"Beauty, Electronics, Home"
U_00552,"Grocery, Home, Electronics"
U_00554,"Beauty, Electronics, Home"
U_00555,"Books, Toys, Grocery"
U_00558,"Fashion, Grocery, Home"
U_00561,"Fashion, Toys, Electronics"
U_00562,"Grocery, Fashion, Home"
U_00564,"Fashion, Electronics, Home"
U_00567,"Grocery, Home, Electronics"
U_00572,"Grocery, Home, Books"
U_00573,"Grocery, Books, Toys"
U_00574,"Beauty, Electronics, Home"
U_00575,"Toys, Home, Electronics"
U_00576,"Beauty, Electronics, Home"
U_00578,"Books, Home, Electronics"
U_00579,"Toys, Books, Home"
U_00580,"Beauty, Electronics, Home"
U_00581,"Books, Toys, Grocery"
U_00582,"Fashion, Electronics, Home"
U_00585,"Fashion, Beauty, Electronics"
U_00588,"Grocery, Home, Electronics"
U_00589,"Books, Home, Electronics"
U_00591,"Books, Home, Electronics"
U_00592,"Sports, Toys, Home"
U_00596,"Sports, Grocery, Home"
U_00599,"Sports, Toys, Home"
U_00610,"Sports, Home, Electronics"
U_00613,"Fashion, Electronics, Home"
U_00616,"Sports, Home, Electronics"
U_00617,"Grocery, Sports, Home"
U_00618,"Toys, Home, Electronics"
U_00620,"Toys, Home, Electronics"
U_00621,"Books, Toys, Grocery"
U_00623,"Books, Toys, Home"
U_00624,"Books, Home, Electronics"
U_00625,"Fashion, Electronics, Home"
U_00627,"Beauty, Electronics, Home"
U_00628,"Fashion, Grocery, Home"
U_00629,"Books, Sports, Home"
U_00630,"Toys, Home, Electronics"
U_00632,"Grocery, Home, Electronics"
U_00633,"Toys, Home, Electronics"
U_00635,"Beauty, Toys, Electronics"
U_00637,"Books, Home, Electronics"
U_00639,"Toys, Home, Electronics"
U_00640,"Toys, Home, Electronics"
U_00643,"Beauty, Electronics, Home"
U_00645,"Fashion, Electronics, Home"
U_00647,"Books, Home, Electronics"
U_00649,"Toys, Home, Electronics"
U_00652,"Grocery, Beauty, Sports"
U_00653,"Grocery, Books, Toys"
U_00654,"Sports, Home, Electronics"
U_00655,"Sports, Home, Electronics"
U_00656,"Books, Grocery, Home"
U_00658,"Books, Home, Electronics"
U_00659,"Grocery, Toys, Home"
U_00660,"Sports, Home, Electronics"
U_00664,"Grocery, Books, Toys"
U_00667,"Books, Toys, Grocery"
U_00671,"Beauty, Books, Electronics"
U_00675,"Books, Home, Electronics"
U_00676,"Grocery, Home, Books"
U_00677,"Grocery, Home, Toys"
U_00679,"Toys, Grocery, Home"
U_00680,"Toys, Home, Electronics"
U_00682,"Books, Home, Electronics"
U_00686,"Grocery, Home, Electronics"
U_00687,"Fashion, Sports, Books"
U_00689,"Beauty, Sports, Electronics"
U_00690,"Grocery, Books, Toys"
U_00691,"Sports, Home, Electronics"
U_00694,"Toys, Home, Electronics"
U_00696,"Grocery, Books, Toys"
U_00699,"Fashion, Electronics, Home"
U_00701,"Toys, Beauty, Electronics"
U_00702,"Books, Toys, Grocery"
U_00705,"Grocery, Home, Electronics"
U_00706,"Grocery, Home, Electronics"
U_00713,"Grocery, Home, Books"
U_00714,"Grocery, Home, Books"
U_00715,"Sports, Home, Electronics"
U_00716,"Books, Toys, Grocery"
U_00722,"Fashion, Grocery, Books"
U_00723,"Grocery, Books, Toys"
U_00724,"Sports, Home, Electronics"
U_00728,"Books, Home, Electronics"
U_00730,"Books, Home, Electronics"
U_00733,"Toys, Books, Home"
U_00734,"Toys, Home, Electronics"
U_00735,"Sports, Home, Electronics"
U_00737,"Books, Home, Electronics"
U_00738,"Grocery, Home, Electronics"
U_00741,"Fashion, Books, Electronics"
U_00749,"Grocery, Books, Toys"
U_00750,"Grocery, Home, Electronics"
U_00751,"Toys, Home, Electronics"
U_00752,"Books, Toys, Grocery"
U_00754,"Grocery, Home, Electronics"
U_00756,"Grocery, Books, Toys"
U_00757,"Fashion, Electronics, Home"
U_00758,"Sports, Home, Electronics"
U_00761,"Books, Toys, Grocery"
U_00762,"Beauty, Books, Toys"
U_00763,"Beauty, Electronics, Home"
U_00764,"Grocery, Books, Home"
U_00765,"Toys, Grocery, Home"
U_00770,"Books, Sports, Home"
U_00771,"Grocery, Home, Electronics"
U_00772,"Grocery, Home, Electronics"
U_00778,"Books, Toys, Grocery"
U_00779,"Beauty, Fashion, Electronics"
U_00780,"Sports, Books, Grocery"
U_00785,"Toys, Books, Home"
U_00787,"Beauty, Electronics, Home"
U_00790,"Beauty, Grocery, Books"
U_00791,"Books, Toys, Grocery"
U_00792,"Grocery, Home, Electronics"
U_00796,"Toys, Home, Books"
U_00800,"Toys, Books, Home"
U_00801,"Fashion, Electronics, Home"
U_00803,"Books, Home, Electronics"
U_00805,"Grocery, Sports, Home"
U_00806,"Fashion, Electronics, Home"
U_00808,"Beauty, Electronics, Home"
U_00809,"Books, Beauty, Sports"
U_00813,"Sports, Home, Electronics"
U_00814,"Beauty, Electronics, Home"
U_00818,"Fashion, Toys, Beauty"
U_00819,"Grocery, Home, Electronics"
U_00820,"Toys, Home, Electronics"
U_00821,"Beauty, Toys, Electronics"
U_00822,"Fashion, Electronics, Home"
U_00823,"Books, Grocery, Home"
U_00824,"Toys, Grocery, Home"
U_00825,"Grocery, Home, Electronics"
U_00828,"Books, Home, Electronics"
U_00829,"Fashion, Sports, Electronics"
U_00831,"Grocery, Home, Electronics"
U_00832,"Grocery, Home, Electronics"
U_00834,"Beauty, Books, Electronics"
U_00839,"Beauty, Electronics, Home"
U_00840,"Beauty, Grocery, Home"
U_00844,"Books, Home, Electronics"
U_00846,"Sports, Home, Electronics"
U_00851,"Fashion, Electronics, Home"
U_00853,"Toys, Home, Electronics"
U_00854,"Beauty, Toys, Books"
U_00857,"Beauty, Sports, Electronics"
U_00859,"Books, Grocery, Home"
U_00860,"Beauty, Sports, Fashion"
U_00861,"Grocery, Books, Toys"
U_00862,"Fashion, Electronics, Home"
U_00864,"Toys, Beauty, Books"
U_00866,"Fashion, Electronics, Home"
U_00867,"Grocery, Books, Toys"
U_00868,"Fashion, Electronics, Home"
U_00870,"Beauty, Electronics, Home"
U_00871,"Sports, Home, Electronics"
U_00872,"Fashion, Electronics, Home"
U_00875,"Books, Home, Electronics"
U_00877,"Toys, Beauty, Home"
U_00879,"Toys, Home, Electronics"
U_00880,"Beauty, Books, Electronics"
U_00882,"Sports, Home, Electronics"
U_00884,"Toys, Home, Electronics"
U_00885,"Sports, Home, Electronics"
U_00887,"Books, Sports, Home"
U_00888,"Grocery, Books, Toys"
U_00889,"Beauty, Electronics, Home"
U_00890,"Books, Home, Electronics"
U_00893,"Toys, Home, Books"
U_00895,"Fashion, Electronics, Home"
U_00897,"Books, Toys, Grocery"
U_00899,"Books, Home, Electronics"
U_00901,"Fashion, Electronics, Home"
U_00903,"Toys, Grocery, Home"
U_00905,"Toys, Home, Electronics"
U_00906,"Toys, Grocery, Home"
U_00908,"Grocery, Books, Toys"
U_00909,"Fashion, Electronics, Home"
U_00916,"Beauty, Electronics, Home"
U_00918,"Grocery, Books, Toys"
U_00920,"Toys, Fashion, Home"
U_00922,"Fashion, Electronics, Home"
U_00923,"Fashion, Electronics, Home"
U_00924,"Fashion, Electronics, Home"
U_00925,"Fashion, Grocery, Home"
U_00926,"Toys, Home, Electronics"
U_00927,"Books, Home, Electronics"
U_00928,"Beauty, Electronics, Home"
U_00934,"Grocery, Home, Books"
U_00935,"Fashion, Toys, Electronics"
U_00936,"Books, Beauty, Home"
U_00938,"Books, Home, Electronics"
U_00939,"Beauty, Toys, Electronics"
U_00940,"Beauty, Electronics, Home"
U_00945,"Sports, Home, Electronics"
U_00948,"Grocery, Toys, Home"
U_00950,"Grocery, Home, Electronics"
U_00952,"Fashion, Electronics, Home"
U_00954,"Books, Toys, Grocery"
U_00955,"Books, Toys, Home"
U_00956,"Toys, Beauty, Home"
U_00957,"Grocery, Home, Electronics"
U_00960,"Books, Toys, Grocery"
U_00965,"Fashion, Sports, Electronics"
U_00966,"Beauty, Electronics, Home"
U_00967,"Grocery, Books, Toys"
U_00969,"Grocery, Home, Electronics"
U_00973,"Beauty, Fashion, Sports"
U_00975,"Sports, Home, Electronics"
U_00977,"Sports, Fashion, Home"
U_00980,"Books, Home, Electronics"
U_00982,"Grocery, Books, Toys"
U_00983,"Books, Toys, Grocery"
U_00986,"Beauty, Books, Electronics"
U_00988,"Fashion, Toys, Electronics"
U_00989,"Fashion, Electronics, Home"
U_00990,"Books, Grocery, Home"
U_00991,"Grocery, Home, Electronics"
U_00997,"Grocery, Books, Toys"
U_00998,"Books, Toys, Grocery"
U_01000,"Fashion, Books, Electronics"
U_01001,"Toys, Grocery, Home"
U_01005,"Sports, Home, Electronics"
U_01006,"Sports, Books, Home"
U_01007,"Grocery, Books, Toys"
U_01009,"Toys, Home, Electronics"
U_01012,"Sports, Books, Home"
U_01013,"Toys, Home, Electronics"
U_01016,"Toys, Home, Electronics"
U_01018,"Beauty, Electronics, Home"
U_01019,"Fashion, Toys, Electronics"
U_01024,"Grocery, Home, Electronics"
U_01026,"Grocery, Home, Electronics"
U_01028,"Beauty, Grocery, Books"
U_01029,"Sports, Home, Electronics"
U_01030,"Books, Home, Electronics"
U_01032,"Toys, Home, Beauty"
U_01033,"Grocery, Home, Electronics"
U_01035,"Books, Grocery, Home"
U_01038,"Beauty, Grocery, Books"
U_01040,"Grocery, Toys, Home"
U_01041,"Grocery, Home, Electronics"
U_01042,"Beauty, Grocery, Home"
U_01043,"Books, Toys, Grocery"
U_01045,"Fashion, Books, Home"
U_01046,"Fashion, Books, Home"
U_01051,"Fashion, Grocery, Home"
U_01055,"Beauty, Electronics, Home"
U_01058,"Sports, Toys, Grocery"
U_01060,"Beauty, Electronics, Home"
U_01065,"Beauty, Electronics, Books"
U_01068,"Beauty, Books, Electronics"
U_01069,"Toys, Home, Electronics"
U_01070,"Fashion, Grocery, Home"
U_01072,"Sports, Home, Electronics"
U_01073,"Beauty, Electronics, Home"
U_01074,"Toys, Home, Electronics"
U_01077,"Beauty, Fashion, Toys"
U_01079,"Toys, Home, Electronics"
U_01084,"Sports, Home, Electronics"
U_01086,"Toys, Home, Electronics"
U_01088,"Grocery, Books, Toys"
U_01090,"Books, Home, Electronics"
U_01091,"Sports, Fashion, Home"
U_01097,"Grocery, Books, Toys"
U_01100,"Sports, Home, Electronics"
U_01101,"Sports, Toys, Grocery"
U_01104,"Beauty, Sports, Toys"
U_01107,"Books, Fashion, Home"
U_01108,"Toys, Home, Electronics"
U_01110,"Toys, Home, Electronics"
U_01111,"Grocery, Books, Toys"
U_01112,"Beauty, Electronics, Home"
U_01113,"Books, Fashion, Home"
U_01115,"Fashion, Electronics, Home"
U_01117,"Toys, Home, Electronics"
U_01119,"Books, Home, Electronics"
U_01121,"Beauty, Electronics, Home"
U_01125,"Books, Home, Electronics"
U_01127,"Books, Home, Electronics"
U_01130,"Beauty, Books, Electronics"
U_01133,"Books, Home, Electronics"
U_01134,"Books, Toys, Grocery"
U_01136,"Books, Home, Electronics"
U_01138,"Beauty, Grocery, Electronics"
U_01139,"Toys, Home, Electronics"
U_01142,"Fashion, Electronics, Home"
U_01143,"Books, Toys, Grocery"
U_01144,"Beauty, Electronics, Home"
U_01145,"Grocery, Books, Toys"
U_01147,"Grocery, Home, Electronics"
U_01149,"Sports, Home, Electronics"
U_01150,"Grocery, Home, Electronics"
U_01152,"Sports, Home, Electronics"
U_01153,"Toys, Home, Electronics"
U_01154,"Sports, Home, Electronics"
U_01156,"Books, Toys, Grocery"
U_01157,"Grocery, Books, Toys"
U_01162,"Beauty, Electronics, Home"
U_01163,"Fashion, Toys, Books"
U_01164,"Toys, Home, Grocery"
U_01167,"Toys, Home, Electronics"
U_01168,"Sports, Books, Home"
U_01169,"Fashion, Electronics, Home"
U_01171,"Grocery, Books, Toys"
U_01172,"Toys, Home, Electronics"
U_01173,"Beauty, Electronics, Home"
U_01175,"Toys, Home, Electronics"
U_01177,"Books, Toys, Grocery"
U_01180,"Books, Home, Sports"
U_01183,"Toys, Home, Electronics"
U_01187,"Grocery, Books, Toys"
U_01191,"Beauty, Sports, Electronics"
U_01193,"Beauty, Grocery, Home"
U_01194,"Grocery, Home, Books"
U_01195,"Books, Toys, Grocery"
U_01196,"Fashion, Electronics, Home"
U_01198,"Beauty, Books, Electronics"
U_01199,"Fashion, Electronics, Home"
U_01201,"Grocery, Home, Books"
U_01204,"Grocery, Home, Electronics"
U_01208,"Books, Home, Electronics"
U_01209,"Toys, Home, Electronics"
U_01210,"Books, Fashion, Home"
U_01211,"Fashion, Toys, Home"
U_01213,"Sports, Home, Electronics"
U_01214,"Fashion, Toys, Grocery"
U_01215,"Sports, Home, Electronics"
U_01216,"Grocery, Home, Electronics"
U_01217,"Grocery, Home, Electronics"
U_01219,"Beauty, Books, Electronics"
U_01220,"Sports, Toys, Home"
U_01224,"Books, Home, Electronics"
U_01225,"Beauty, Books, Toys"
U_01226,"Books, Toys, Grocery"
U_01227,"Grocery, Home, Sports"
U_01228,"Toys, Home, Electronics"
U_01232,"Sports, Home, Electronics"
U_01235,"Books, Grocery, Home"
U_01236,"Books, Home, Electronics"
U_01237,"Grocery, Books, Toys"
U_01238,"Sports, Grocery, Home"
U_01239,"Books, Home, Electronics"
U_01240,"Grocery, Home, Electronics"
U_01242,"Toys, Home, Electronics"
U_01246,"Sports, Home, Electronics"
U_01249,"Beauty, Books, Electronics"
U_01250,"Fashion, Books, Electronics"
U_01252,"Toys, Home, Books"
U_01253,"Toys, Grocery, Home"
U_01254,"Grocery, Books, Toys"
U_01255,"Beauty, Books, Toys"
U_01256,"Sports, Books, Grocery"
U_01257,"Books, Toys, Grocery"
U_01258,"Grocery, Home, Electronics"
U_01259,"Beauty, Sports, Electronics"
U_01261,"Grocery, Toys, Home"
U_01265,"Sports, Home, Electronics"
U_01266,"Sports, Grocery, Books"
U_01267,"Toys, Home, Electronics"
U_01269,"Sports, Beauty, Home"
U_01270,"Books, Beauty, Electronics"
U_01271,"Sports, Fashion, Home"
U_01274,"Grocery, Books, Toys"
U_01277,"Grocery, Home, Electronics"
U_01278,"Grocery, Home, Electronics"
U_01279,"Books, Toys, Grocery"
U_01280,"Beauty, Electronics, Home"
U_01281,"Fashion, Electronics, Home"
U_01284,"Fashion, Grocery, Home"
U_01286,"Toys, Home, Electronics"
U_01287,"Grocery, Books, Toys"
U_01289,"Beauty, Electronics, Home"
U_01290,"Beauty, Fashion, Electronics"
U_01293,"Toys, Home, Electronics"
U_01296,"Grocery, Home, Electronics"
U_01298,"Toys, Home, Electronics"
U_01300,"Books, Home, Electronics"
U_01303,"Toys, Home, Electronics"
U_01304,"Sports, Home, Electronics"
U_01305,"Books, Toys, Grocery"
U_01306,"Books, Toys, Grocery"
U_01307,"Sports, Home, Electronics"
U_01309,"Beauty, Fashion, Electronics"
U_01314,"Fashion, Electronics, Home"
U_01315,"Books, Home, Electronics"
U_01316,"Toys, Home, Electronics"
U_01318,"Beauty, Books, Electronics"
U_01320,"Beauty, Sports, Electronics"
U_01322,"Fashion, Electronics, Home"
U_01324,"Books, Toys, Grocery"
U_01325,"Books, Toys, Grocery"
U_01327,"Toys, Sports, Beauty"
U_01329,"Grocery, Books, Toys"
U_01333,"Fashion, Sports, Electronics"
U_01339,"Grocery, Fashion, Home"
U_01342,"Sports, Fashion, Home"
U_01343,"Beauty, Electronics, Home"
U_01344,"Books, Beauty, Home"
U_01346,"Beauty, Electronics, Home"
U_01348,"Fashion, Books, Electronics"
U_01350,"Grocery, Home, Electronics"
U_01351,"Grocery, Home, Electronics"
U_01357,"Fashion, Electronics, Home"
U_01359,"Grocery, Beauty, Home"
U_01362,"Books, Toys, Grocery"
U_01364,"Toys, Home, Electronics"
U_01370,"Books, Toys, Home"
U_01371,"Fashion, Electronics, Home"
U_01375,"Books, Home, Electronics"
U_01378,"Grocery, Home, Electronics"
U_01380,"Grocery, Home, Electronics"
U_01383,"Books, Home, Electronics"
U_01384,"Grocery, Books, Toys"
U_01387,"Sports, Books, Toys"
U_01388,"Fashion, Beauty, Electronics"
U_01389,"Grocery, Books, Toys"
U_01391,"Grocery, Home, Electronics"
U_01396,"Toys, Books, Grocery"
U_01403,"Books, Home, Electronics"
U_01404,"Beauty, Electronics, Home"
U_01405,"Books, Toys, Grocery"
U_01407,"Books, Home, Electronics"
U_01408,"Books, Home, Fashion"
U_01409,"Fashion, Electronics, Home"
U_01410,"Fashion, Sports, Beauty"
U_01411,"Books, Home, Electronics"
U_01413,"Grocery, Home, Electronics"
U_01415,"Grocery, Home, Electronics"
U_01417,"Books, Home, Electronics"
U_01421,"Books, Toys, Grocery"
U_01423,"Beauty, Sports, Electronics"
U_01424,"Books, Toys, Grocery"
U_01425,"Fashion, Electronics, Home"
U_01427,"Beauty, Fashion, Books"
U_01431,"Grocery, Books, Toys"
U_01432,"Books, Home, Electronics"
U_01433,"Toys, Home, Electronics"
U_01434,"Beauty, Electronics, Home"
