user_id,signup_date,plan_type,region,churn_label
U_00058,2025-10-25,Pro,East,0
U_00059,2025-04-03,Enterprise,East,1
U_00060,2026-02-20,Pro,East,1
U_00061,2024-07-01,Pro,East,1
U_00062,2025-08-12,Free,South,1
U_00063,2025-04-26,Free,South,0
U_00064,2025-04-11,Free,South,0
U_00065,2024-11-30,Free,North,0
U_00066,2026-01-13,Enterprise,West,1
U_00067,2026-05-05,Free,East,0
U_00068,2024-12-19,Free,East,1
U_00069,2025-07-09,Free,North,1
U_00070,2023-10-05,Free,South,0
U_00071,2025-08-18,Enterprise,West,0
U_00072,2025-06-21,Pro,East,0
U_00073,2026-06-25,Pro,North,1
U_00074,2025-12-25,Enterprise,West,0
U_00075,2024-05-31,Free,East,0
U_00076,2024-09-16,Enterprise,West,1
U_00077,2025-07-14,Free,South,0
U_00078,2023-08-26,Pro,North,1
U_00079,2024-12-06,Free,South,0
U_00080,2024-01-28,Pro,East,0
U_00081,2023-12-04,Free,North,0
U_00082,2023-10-03,Free,South,0
U_00083,2025-10-28,Pro,South,0
U_00084,2023-12-17,Free,South,0
U_00085,2024-04-21,Enterprise,East,0
U_00086,2024-09-21,Pro,South,1
U_00087,2026-02-15,Pro,West,1
U_00088,2023-10-26,Free,South,0
U_00089,2024-11-22,Pro,North,0
U_00090,2025-03-09,Free,North,1
U_00091,2026-02-28,Pro,South,0
U_00092,2025-12-22,Free,North,0
U_00093,2026-02-08,Free,North,0
U_00094,2024-05-24,Free,South,1
U_00095,2024-10-17,Pro,North,0
U_00096,2024-08-18,Free,North,0
U_00097,2026-03-01,Free,East,0
U_00098,2026-05-18,Free,East,1
U_00099,2024-01-09,Pro,South,1
U_00100,2024-02-05,Free,South,1
U_00101,2024-04-05,Free,West,0
U_00102,2024-04-06,Free,West,0
U_00103,2024-12-30,Pro,South,1
U_00104,2025-04-21,Free,South,0
U_00105,2024-05-08,Enterprise,North,0
U_00106,2023-08-06,Free,South,0
U_00107,2024-10-21,Free,West,1
U_00108,2024-08-29,Free,West,0
U_00109,2025-03-27,Pro,South,0
U_00110,2026-05-14,Pro,West,0
U_00111,2025-08-07,Free,South,0
U_00112,2025-02-01,Pro,North,0
U_00113,2025-05-21,Free,East,1
U_00114,2025-07-22,Free,North,1
U_00115,2023-09-28,Free,East,0
U_00116,2026-03-17,Pro,South,0
U_00117,2025-11-10,Pro,East,0
U_00118,2026-02-19,Free,South,0
U_00119,2025-11-29,Pro,West,0
U_00120,2024-09-23,Free,South,1
U_00121,2024-09-30,Free,East,0
U_00122,2023-11-20,Free,North,0
U_00123,2025-06-08,Pro,North,1
U_00124,2023-10-07,Pro,North,0
U_00125,2023-10-12,Pro,South,0
U_00126,2024-03-11,Free,North,0
U_00127,2024-01-22,Pro,East,1
U_00128,2024-07-29,Free,South,1
U_00129,2023-09-27,Free,North,0
U_00130,2023-08-02,Free,North,0
U_00131,2024-01-10,Pro,East,0
U_00132,2023-11-18,Pro,South,0
U_00133,2024-08-23,Free,South,0
U_00134,2023-08-29,Free,North,0
U_00135,2026-02-19,Free,North,1
U_00136,2025-05-17,Pro,West,0
U_00137,2024-01-07,Free,North,0
U_00138,2024-04-26,Free,West,0
U_00139,2024-08-06,Free,East,0
U_00140,2024-08-24,Pro,East,0
U_00141,2023-12-10,Free,West,1
U_00142,2026-01-22,Free,South,0
U_00143,2026-06-25,Enterprise,East,0
U_00144,2024-12-10,Free,North,1
U_00145,2024-12-29,Pro,East,1
U_00146,2023-11-01,Pro,East,1
U_00147,2023-11-18,Free,South,0
U_00148,2024-08-01,Free,West,1
U_00149,2024-05-10,Free,East,0
U_00150,2026-01-01,Enterprise,South,0
U_00151,2024-01-21,Free,South,1
U_00152,2023-08-26,Free,North,0
U_00153,2026-05-11,Free,North,1
U_00154,2025-02-15,Free,South,0
U_00155,2024-01-05,Free,North,0
U_00156,2025-03-03,Free,South,1
U_00157,2023-08-30,Free,West,1
U_00158,2025-02-14,Pro,East,0
U_00159,2026-06-10,Free,South,0
U_00160,2026-02-07,Pro,East,1
U_00161,2025-08-13,Pro,East,1
U_00162,2024-05-06,Free,West,1
U_00163,2024-08-26,Pro,North,0
U_00164,2024-01-27,Free,North,0
U_00165,2025-11-01,Free,East,0
U_00166,2025-02-19,Pro,West,0
U_00167,2025-11-09,Free,North,0
U_00168,2024-07-18,Free,East,0
U_00169,2024-03-26,Pro,North,0
U_00170,2025-12-14,Pro,North,1
U_00171,2026-06-16,Free,North,1
U_00172,2026-01-26,Free,South,1
U_00173,2025-12-08,Free,West,0
U_00174,2025-12-21,Free,West,0
U_00175,2025-09-28,Free,North,0
U_00176,2024-03-30,Free,South,1
U_00177,2025-02-03,Pro,East,0
U_00178,2024-08-15,Free,West,1
U_00179,2023-09-01,Free,East,0
U_00180,2023-08-31,Free,South,1
U_00181,2024-05-25,Pro,East,0
U_00182,2024-05-04,Pro,West,0
U_00183,2025-08-09,Pro,East,1
U_00184,2026-05-17,Free,North,1
U_00185,2024-11-20,Free,North,1
U_00186,2026-04-26,Pro,West,0
U_00187,2026-06-20,Free,North,0
U_00188,2026-05-16,Free,East,0
U_00189,2024-08-24,Free,East,1
U_00190,2024-03-24,Free,South,0
U_00191,2024-03-30,Free,West,0
U_00192,2024-02-27,Free,North,1
U_00193,2024-03-06,Free,West,1
U_00194,2025-05-28,Free,West,1
U_00195,2026-03-18,Pro,East,1
U_00196,2026-01-13,Free,North,0
U_00197,2024-12-25,Enterprise,West,0
U_00198,2025-06-28,Free,North,1
U_00199,2025-12-01,Free,East,0
U_00200,2023-10-31,Free,West,1
U_00201,2025-07-06,Free,West,0
U_00202,2026-03-28,Pro,East,0
U_00203,2025-11-12,Free,East,0
U_00204,2025-10-09,Free,East,1
U_00205,2024-12-23,Enterprise,South,0
U_00206,2024-02-08,Free,North,0
U_00207,2025-11-20,Pro,South,0
U_00208,2024-07-21,Enterprise,West,0
U_00209,2025-12-02,Free,East,1
U_00210,2026-06-02,Free,South,0
U_00211,2024-09-26,Free,West,0
U_00212,2024-10-02,Enterprise,East,0
U_00213,2026-05-07,Pro,West,0
U_00214,2025-09-12,Enterprise,West,1
U_00215,2024-01-30,Pro,South,0
U_00216,2023-12-15,Pro,South,0
U_00217,2024-01-10,Enterprise,South,0
U_00218,2026-03-23,Free,West,1
U_00219,2025-12-08,Free,South,0
U_00220,2024-01-04,Pro,South,0
U_00221,2025-12-30,Pro,East,0
U_00222,2026-06-12,Pro,East,1
U_00223,2025-07-02,Free,West,1
U_00224,2024-08-09,Pro,South,0
U_00225,2025-03-08,Free,East,1
U_00226,2023-12-19,Pro,East,0
U_00227,2023-08-17,Free,South,1
U_00228,2026-06-01,Free,South,1
U_00229,2025-06-24,Free,West,1
U_00230,2025-02-13,Free,North,0
U_00231,2026-04-23,Free,West,0
U_00232,2024-11-06,Free,West,1
U_00233,2026-02-16,Free,West,0
U_00234,2025-12-29,Pro,South,0
U_00235,2024-03-13,Pro,South,0
U_00236,2024-04-26,Free,West,0
U_00237,2024-06-09,Free,North,1
U_00238,2024-04-14,Free,North,0
U_00239,2025-04-18,Free,East,1
U_00240,2024-05-04,Free,North,1
U_00241,2024-10-21,Free,East,0
U_00242,2023-12-19,Free,East,0
U_00243,2026-03-29,Pro,North,0
U_00244,2024-08-13,Free,East,1
U_00245,2024-12-02,Pro,West,0
U_00246,2025-04-14,Free,South,0
U_00247,2026-03-22,Free,East,0
U_00248,2024-10-23,Pro,South,0
U_00249,2026-04-06,Free,North,1
U_00250,2025-01-17,Free,West,1
U_00251,2025-02-18,Free,West,0
U_00252,2025-02-10,Pro,West,0
U_00253,2023-08-21,Free,South,1
U_00254,2024-11-13,Free,North,0
U_00255,2024-02-13,Free,South,1
U_00256,2023-08-06,Free,South,0
U_00257,2025-11-30,Enterprise,East,0
U_00258,2024-02-01,Free,West,1
U_00259,2024-12-18,Pro,West,0
U_00260,2025-09-13,Free,South,0
U_00261,2025-03-17,Pro,South,0
U_00262,2024-07-14,Free,West,1
U_00263,2025-02-04,Enterprise,South,0
U_00264,2025-03-16,Pro,East,0
U_00265,2025-11-15,Free,South,0
U_00266,2023-11-23,Free,South,0
U_00267,2025-03-21,Free,East,0
U_00268,2024-04-22,Free,East,1
U_00269,2024-05-23,Pro,South,1
U_00270,2025-11-02,Free,North,1
U_00271,2025-01-24,Pro,East,0
U_00272,2025-03-22,Free,South,0
U_00273,2025-10-20,Enterprise,East,1
U_00274,2026-03-31,Free,North,0
U_00275,2024-11-16,Enterprise,East,0
U_00276,2025-05-15,Free,East,0
U_00277,2025-01-21,Free,North,0
U_00278,2025-01-28,Free,West,1
U_00279,2025-08-09,Free,North,1
U_00280,2024-11-26,Pro,North,1
U_00281,2025-02-20,Pro,North,0
U_00282,2024-12-23,Pro,East,0
U_00283,2026-05-01,Pro,East,0
U_00284,2025-08-16,Pro,East,1
U_00285,2026-02-21,Free,North,1
U_00286,2026-05-02,Enterprise,West,1
U_00287,2024-05-04,Pro,West,0
U_00288,2025-03-20,Free,West,0
U_00289,2026-05-03,Pro,South,1
U_00290,2026-01-13,Pro,South,0
U_00291,2023-12-26,Pro,East,0
U_00292,2023-12-09,Enterprise,North,1
U_00293,2024-11-15,Enterprise,South,0
U_00294,2023-10-18,Pro,North,1
U_00295,2024-04-14,Free,East,0
U_00296,2023-10-18,Free,North,0
U_00297,2025-07-15,Free,North,0
U_00298,2025-11-14,Free,West,0
U_00299,2026-03-15,Free,South,0
U_00300,2024-01-13,Free,West,0
U_00301,2025-09-03,Pro,North,0
U_00302,2025-07-05,Free,East,0
U_00303,2024-01-01,Pro,East,0
U_00304,2026-02-28,Free,West,0
U_00305,2026-05-29,Pro,South,1
U_00306,2024-03-23,Pro,East,0
U_00307,2026-05-13,Pro,North,1
U_00308,2024-09-29,Pro,South,0
U_00309,2025-01-02,Free,North,1
U_00310,2026-06-22,Free,North,0
U_00311,2026-01-05,Free,South,0
U_00312,2024-01-21,Pro,North,0
U_00313,2024-11-04,Pro,North,1
U_00314,2025-02-01,Free,South,0
U_00315,2024-07-28,Free,South,1
U_00316,2024-02-26,Free,North,1
U_00317,2024-07-06,Pro,South,0
U_00318,2025-09-09,Pro,East,0
U_00319,2023-08-22,Free,South,0
U_00320,2025-03-14,Pro,South,0
U_00321,2024-11-13,Free,West,1
U_00322,2023-08-21,Free,East,0
U_00323,2024-07-20,Pro,North,0
U_00324,2025-05-28,Pro,North,1
U_00325,2025-01-29,Enterprise,West,1
U_00326,2023-10-09,Free,North,1
U_00327,2026-06-17,Free,East,1
U_00328,2025-11-19,Pro,East,0
U_00329,2026-06-02,Free,East,1
U_00330,2023-11-21,Free,West,0
U_00331,2024-05-11,Pro,South,0
U_00332,2023-09-13,Free,South,0
U_00333,2025-11-09,Pro,South,0
U_00334,2024-05-16,Free,North,0
U_00335,2023-12-18,Enterprise,West,0
U_00336,2024-10-25,Pro,North,0
U_00337,2026-03-30,Pro,West,0
U_00338,2025-12-22,Pro,South,0
U_00339,2024-05-03,Free,East,1
U_00340,2024-01-08,Pro,North,1
U_00341,2026-04-07,Free,West,0
U_00342,2025-04-01,Free,South,1
U_00343,2025-08-17,Free,East,1
U_00344,2023-11-05,Free,North,0
U_00345,2023-10-02,Free,South,0
U_00346,2025-08-04,Pro,South,0
U_00347,2024-10-28,Free,South,1
U_00348,2023-10-18,Free,South,0
U_00349,2026-04-28,Pro,North,1
U_00350,2025-06-08,Free,South,1
U_00351,2025-12-03,Enterprise,East,0
U_00352,2023-10-30,Free,West,0
U_00353,2026-01-30,Free,West,1
U_00354,2023-10-12,Free,West,1
U_00355,2026-02-06,Pro,West,0
U_00356,2024-11-27,Free,North,0
U_00357,2024-07-28,Enterprise,West,0
U_00358,2025-03-13,Enterprise,West,0
U_00359,2026-04-15,Enterprise,West,0
U_00360,2024-05-13,Pro,South,1
U_00361,2023-12-17,Pro,East,0
U_00362,2025-02-13,Pro,North,0
U_00363,2024-04-12,Pro,North,1
U_00364,2023-11-26,Free,North,1
U_00365,2024-01-21,Enterprise,South,1
U_00366,2023-09-24,Free,North,0
U_00367,2024-03-04,Free,West,0
U_00368,2024-06-29,Pro,South,0
U_00369,2024-06-22,Free,East,0
U_00370,2025-10-19,Free,East,0
U_00371,2024-06-06,Free,East,0
U_00372,2025-01-16,Free,East,1
U_00373,2024-02-07,Free,East,0
U_00374,2024-08-05,Enterprise,South,0
U_00375,2023-08-21,Free,East,0
U_00376,2024-04-24,Free,South,0
U_00377,2023-08-18,Pro,North,0
U_00378,2025-09-21,Pro,West,1
U_00379,2025-03-11,Pro,West,0
U_00380,2024-02-19,Free,West,0
U_00381,2024-12-20,Pro,East,0
U_00382,2026-04-24,Free,West,1
U_00383,2023-11-23,Free,North,0
U_00384,2025-12-21,Pro,East,0
U_00385,2024-11-04,Pro,North,1
U_00386,2025-01-10,Pro,South,0
U_00387,2026-01-07,Free,West,1
U_00388,2024-09-24,Free,South,1
U_00389,2025-01-23,Free,North,0
U_00390,2025-08-04,Free,North,0
U_00391,2026-06-14,Free,North,1
U_00392,2024-08-01,Pro,South,0
U_00393,2026-01-05,Free,South,1
U_00394,2025-08-24,Free,West,0
U_00395,2025-06-09,Enterprise,North,1
U_00396,2024-10-06,Pro,West,1
U_00397,2024-08-06,Free,South,1
U_00398,2023-09-28,Free,East,0
U_00399,2023-12-18,Free,East,0
U_00400,2023-10-16,Free,West,0
U_00401,2025-09-29,Free,North,0
U_00402,2024-04-30,Free,North,0
U_00403,2024-01-23,Pro,South,1
U_00404,2023-10-31,Free,North,1
U_00405,2026-01-14,Pro,South,1
U_00406,2026-02-14,Free,West,0
U_00407,2025-07-16,Free,East,0
U_00408,2024-05-28,Enterprise,North,0
U_00409,2024-04-16,Free,North,0
U_00410,2024-06-09,Free,West,1
U_00411,2024-12-03,Pro,South,1
U_00412,2024-01-16,Free,East,1
U_00413,2024-11-19,Free,North,1
U_00414,2024-05-08,Free,North,0
U_00415,2026-05-23,Pro,East,0
U_00416,2026-06-03,Pro,North,0
U_00417,2025-03-07,Enterprise,East,1
U_00418,2024-04-18,Pro,South,0
U_00419,2026-05-27,Free,West,0
U_00420,2024-06-26,Pro,West,0
U_00421,2024-08-16,Free,North,0
U_00422,2023-08-03,Free,South,1
U_00423,2024-09-11,Free,South,1
U_00424,2024-12-19,Free,South,0
U_00425,2025-01-18,Pro,North,1
U_00426,2024-03-03,Pro,South,0
U_00427,2025-01-21,Pro,North,1
U_00428,2023-08-07,Pro,South,1
U_00429,2024-05-09,Free,North,1
U_00430,2023-11-05,Free,East,0
U_00431,2024-09-30,Free,West,1
U_00432,2023-09-15,Pro,South,0
U_00433,2023-08-25,Pro,North,1
U_00434,2024-06-21,Free,East,1
U_00435,2024-04-06,Pro,South,0
U_00436,2025-04-17,Free,East,1
U_00437,2025-02-16,Free,West,0
U_00438,2025-10-10,Free,East,1
U_00439,2025-07-02,Pro,North,0
U_00440,2025-09-03,Pro,West,1
U_00441,2026-02-24,Free,West,1
U_00442,2024-09-20,Pro,North,1
U_00443,2024-07-14,Free,North,1
U_00444,2026-06-16,Pro,North,1
U_00445,2024-01-08,Free,West,0
U_00446,2025-09-11,Free,East,0
U_00447,2025-06-17,Free,East,1
U_00448,2023-09-17,Free,West,0
U_00449,2026-01-08,Pro,East,1
U_00450,2026-03-09,Free,South,0
U_00451,2025-05-31,Free,South,0
U_00452,2025-09-22,Pro,North,0
U_00453,2025-12-14,Free,North,0
U_00454,2023-12-28,Free,North,1
U_00455,2025-02-10,Enterprise,North,0
U_00456,2025-01-20,Free,East,0
U_00457,2026-01-08,Free,East,0
U_00458,2025-12-06,Pro,West,0
U_00459,2025-12-29,Enterprise,South,0
U_00460,2025-04-15,Free,East,1
U_00461,2026-03-10,Free,West,0
U_00462,2025-07-29,Free,West,1
U_00463,2025-08-10,Enterprise,South,1
U_00464,2024-04-03,Free,West,1
U_00465,2023-09-04,Free,South,1
U_00466,2023-12-21,Enterprise,South,1
U_00467,2024-08-20,Free,East,0
U_00468,2023-11-21,Pro,South,1
U_00469,2026-01-08,Pro,East,1
U_00470,2025-03-19,Free,North,0
U_00471,2025-06-01,Free,South,0
U_00472,2025-05-30,Pro,East,1
U_00473,2025-07-27,Free,South,0
U_00474,2025-01-04,Free,East,0
U_00475,2023-08-05,Pro,West,0
U_00476,2025-11-29,Free,West,1
U_00477,2025-10-07,Pro,East,0
U_00478,2025-01-19,Free,South,1
U_00479,2025-02-22,Pro,North,0
U_00480,2025-07-04,Free,West,1
U_00481,2023-10-11,Enterprise,South,1
U_00482,2025-09-25,Enterprise,South,1
U_00483,2024-04-26,Pro,West,0
U_00484,2023-10-20,Free,North,0
U_00485,2024-05-11,Free,West,0
U_00486,2025-09-17,Enterprise,West,1
U_00487,2024-03-07,Free,North,0
U_00488,2025-09-28,Free,South,0
U_00489,2026-06-07,Free,North,1
U_00490,2025-01-09,Free,North,1
U_00491,2024-09-12,Free,South,1
U_00492,2024-12-24,Pro,East,1
U_00493,2025-07-30,Free,South,1
U_00494,2025-10-27,Free,North,0
U_00495,2025-05-20,Free,East,0
U_00496,2025-06-17,Enterprise,South,0
U_00497,2023-10-23,Pro,North,1
U_00498,2024-01-06,Free,North,0
U_00499,2024-04-28,Free,West,1
U_00500,2025-10-02,Free,North,1
U_00501,2024-06-21,Pro,West,0
U_00502,2025-03-29,Free,East,1
U_00503,2023-08-15,Free,East,1
U_00504,2023-10-05,Free,South,0
U_00505,2024-05-14,Free,South,0
U_00506,2025-07-18,Free,North,1
U_00507,2025-08-08,Enterprise,South,0
U_00508,2025-07-22,Free,West,0
U_00509,2024-06-07,Pro,South,0
U_00510,2025-02-02,Free,South,0
U_00511,2024-12-09,Free,East,1
U_00512,2024-12-11,Pro,West,0
U_00513,2023-12-06,Pro,East,0
U_00514,2026-03-11,Pro,East,1
U_00515,2024-03-01,Free,West,0
U_00516,2026-06-09,Free,East,0
U_00517,2026-04-26,Enterprise,West,1
U_00518,2023-08-20,Free,East,0
U_00519,2024-12-03,Free,North,1
U_00520,2025-12-23,Free,North,0
U_00521,2026-05-30,Pro,North,1
U_00522,2024-11-23,Free,South,1
U_00523,2024-05-14,Free,East,1
U_00524,2024-03-12,Pro,West,0
U_00525,2026-05-05,Pro,North,0
U_00526,2024-03-13,Free,West,0
U_00527,2025-04-12,Pro,North,1
U_00528,2023-12-31,Free,North,0
U_00529,2025-02-10,Free,West,0
U_00530,2026-05-13,Free,West,1
U_00531,2023-12-21,Free,West,1
U_00532,2025-12-23,Free,West,1
U_00533,2025-01-25,Pro,South,1
U_00534,2026-03-04,Pro,East,0
U_00535,2025-08-20,Free,East,1
U_00536,2024-04-04,Free,West,0
U_00537,2026-03-15,Free,South,1
U_00538,2025-01-01,Pro,North,0
U_00539,2023-08-28,Free,East,0
U_00540,2023-08-05,Free,West,1
U_00541,2025-01-07,Free,South,0
U_00542,2024-11-24,Free,South,1
U_00543,2024-06-18,Free,East,1
U_00544,2023-12-29,Free,South,1
U_00545,2024-08-02,Free,East,0
U_00546,2024-07-03,Free,North,1
U_00547,2026-01-13,Pro,East,1
U_00548,2023-08-03,Pro,East,1
U_00549,2025-10-10,Free,East,0
U_00550,2026-01-12,Free,North,1
U_00551,2023-12-07,Free,East,0
U_00552,2026-04-15,Enterprise,North,1
U_00553,2025-08-31,Pro,West,0
U_00554,2026-03-20,Pro,East,1
U_00555,2024-06-05,Enterprise,North,1
U_00556,2024-09-01,Enterprise,North,0
U_00557,2024-09-23,Pro,South,1
U_00558,2026-07-01,Free,North,0
U_00559,2025-04-21,Free,South,0
U_00560,2024-08-20,Pro,North,1
U_00561,2024-10-31,Pro,North,0
U_00562,2024-05-21,Pro,East,0
U_00563,2023-09-22,Pro,East,1
U_00564,2023-11-18,Enterprise,North,1
U_00565,2026-01-07,Free,West,1
U_00566,2024-06-01,Free,North,1
U_00567,2026-04-25,Pro,West,0
U_00568,2024-04-23,Free,North,0
U_00569,2024-05-11,Free,South,0
U_00570,2025-01-27,Free,North,0
U_00571,2024-02-20,Enterprise,South,1
U_00572,2024-09-02,Pro,West,0
U_00573,2026-05-17,Pro,North,1
U_00574,2026-03-01,Pro,North,0
U_00575,2025-12-14,Enterprise,North,1
U_00576,2025-06-04,Free,West,0
U_00577,2026-04-01,Free,East,1
U_00578,2026-04-30,Pro,North,0
U_00579,2025-03-09,Pro,West,0
U_00580,2025-09-07,Pro,North,1
U_00581,2023-09-23,Free,North,1
U_00582,2025-09-20,Free,East,0
U_00583,2024-11-24,Pro,West,1
U_00584,2025-10-12,Free,East,1
U_00585,2025-06-19,Pro,South,0
U_00586,2024-06-02,Free,East,1
U_00587,2023-09-23,Pro,West,1
U_00588,2026-04-15,Pro,West,0
U_00589,2023-12-15,Free,East,0
U_00590,2024-12-17,Free,East,1
U_00591,2024-08-02,Pro,South,0
U_00592,2024-06-14,Pro,West,0
U_00593,2025-09-27,Free,West,0
U_00594,2026-06-07,Free,South,1
U_00595,2024-05-05,Pro,North,1
U_00596,2025-07-01,Enterprise,East,0
U_00597,2024-06-17,Pro,North,1
U_00598,2025-03-18,Free,South,1
U_00599,2024-09-25,Free,East,0
U_00600,2024-01-27,Free,West,1
U_00601,2024-01-21,Free,South,0
U_00602,2024-03-10,Free,West,1
U_00603,2026-03-24,Free,East,1
U_00604,2025-01-12,Free,West,1
U_00605,2024-03-23,Free,East,0
U_00606,2026-03-25,Free,West,0
U_00607,2026-06-29,Pro,East,1
U_00608,2024-11-23,Free,South,0
U_00609,2023-12-28,Free,North,1
U_00610,2024-02-23,Pro,East,0
U_00611,2023-11-06,Free,South,0
U_00612,2024-07-31,Pro,West,1
U_00613,2023-11-07,Pro,East,0
U_00614,2024-04-12,Free,North,1
U_00615,2024-05-03,Free,North,0
U_00616,2025-03-31,Free,North,0
U_00617,2026-03-04,Pro,South,0
U_00618,2025-10-09,Pro,South,1
U_00619,2024-10-15,Free,West,0
U_00620,2024-10-16,Pro,South,0
U_00621,2025-02-10,Free,East,0
U_00622,2024-09-06,Free,West,1
U_00623,2024-07-27,Enterprise,North,0
U_00624,2023-10-07,Pro,West,0
U_00625,2024-05-23,Enterprise,West,0
U_00626,2026-05-29,Pro,East,1
U_00627,2023-12-14,Pro,North,0
U_00628,2025-01-19,Free,West,1
U_00629,2025-06-03,Free,South,0
U_00630,2026-02-06,Free,North,0
U_00631,2024-03-19,Free,North,0
U_00632,2024-05-16,Free,North,0
U_00633,2024-04-22,Pro,North,0
U_00634,2024-10-01,Free,East,1
U_00635,2024-11-19,Pro,East,0
U_00636,2026-05-14,Free,North,1
U_00637,2026-01-22,Pro,East,1
U_00638,2026-02-17,Pro,North,0
U_00639,2023-08-25,Pro,West,0
U_00640,2023-09-05,Pro,South,1
U_00641,2025-08-27,Free,West,1
U_00642,2026-03-13,Free,North,0
U_00643,2024-12-18,Free,North,0
U_00644,2025-04-18,Free,South,0
U_00645,2023-08-02,Enterprise,West,1
U_00646,2024-09-22,Pro,West,1
U_00647,2026-04-15,Pro,South,0
U_00648,2025-12-29,Pro,East,0
U_00649,2026-01-29,Free,South,0
U_00650,2026-06-03,Free,West,1
U_00651,2024-04-22,Free,South,1
U_00652,2023-11-26,Pro,West,0
U_00653,2024-01-13,Pro,North,0
U_00654,2025-02-08,Free,East,0
U_00655,2025-07-29,Free,West,0
U_00656,2026-05-01,Pro,West,0
U_00657,2025-09-09,Free,South,1
U_00658,2025-06-22,Pro,South,0
U_00659,2025-10-25,Pro,East,0
U_00660,2024-12-01,Free,South,0
U_00661,2025-03-11,Free,East,0
U_00662,2023-09-13,Free,North,1
U_00663,2025-11-12,Free,West,0
U_00664,2024-04-05,Free,East,1
U_00665,2026-04-08,Free,West,0
U_00666,2025-06-20,Free,South,1
U_00667,2024-06-20,Enterprise,East,1
U_00668,2023-12-16,Pro,West,1
U_00669,2024-04-26,Free,South,0
U_00670,2025-06-10,Free,South,0
U_00671,2025-08-15,Enterprise,South,0
U_00672,2023-11-29,Free,North,0
U_00673,2023-10-15,Pro,East,1
U_00674,2025-02-11,Free,South,0
U_00675,2025-04-14,Enterprise,East,1
U_00676,2024-09-18,Enterprise,North,0
U_00677,2024-03-27,Pro,North,1
U_00678,2025-05-03,Free,East,1
U_00679,2023-08-13,Enterprise,North,0
U_00680,2024-06-18,Pro,South,0
U_00681,2024-12-05,Pro,South,0
U_00682,2026-05-20,Pro,South,0
U_00683,2025-06-19,Free,North,0
U_00684,2026-03-01,Free,North,0
U_00685,2024-12-20,Pro,South,1
U_00686,2024-04-08,Free,North,0
U_00687,2024-04-21,Enterprise,West,0
U_00688,2026-05-22,Free,South,0
U_00689,2025-08-22,Enterprise,North,0
U_00690,2024-06-24,Pro,South,0
U_00691,2023-08-25,Enterprise,East,0
U_00692,2025-01-14,Pro,North,1
U_00693,2025-07-20,Free,North,0
U_00694,2024-10-22,Enterprise,South,1
U_00695,2024-05-02,Pro,East,1
U_00696,2025-07-13,Free,North,1
U_00697,2026-04-14,Free,West,0
U_00698,2024-03-30,Free,North,0
U_00699,2023-09-07,Enterprise,West,1
U_00700,2024-07-27,Free,South,1
U_00701,2024-10-23,Pro,West,0
U_00702,2025-07-29,Pro,West,0
U_00703,2024-02-29,Free,North,1
U_00704,2025-11-28,Free,East,0
U_00705,2025-09-27,Enterprise,South,0
U_00706,2025-01-21,Pro,East,0
U_00707,2024-03-07,Free,East,0
U_00708,2026-05-31,Free,East,1
U_00709,2024-06-29,Free,North,1
